"state","week","deathsum","committee","individual"
"358","OR",2020-03-10,NA,30530,259209
"359","OR",2020-03-17,0,42500,134539
"360","OR",2020-03-24,8,41500,106518
"361","OR",2020-03-31,10,48100,288452
"362","OR",2020-04-07,15,NA,NA
"363","OR",2020-04-14,22,NA,NA
"364","OR",2020-04-21,23,NA,NA
"365","OR",2020-04-28,14,NA,NA
"366","OR",2020-05-05,12,NA,NA
"367","PA",2020-03-10,NA,194472,540313
"368","PA",2020-03-17,0,347950,321054
"369","PA",2020-03-24,7,381064,291954
"370","PA",2020-03-31,56,438321,1084031
"371","PA",2020-04-07,177,NA,1500
"372","PA",2020-04-14,344,NA,NA
"373","PA",2020-04-21,980,NA,NA
"374","PA",2020-04-28,152,NA,NA
"375","PA",2020-05-05,638,NA,NA
"376","PR",2020-03-17,NA,NA,NA
"377","PR",2020-03-24,2,NA,NA
"378","PR",2020-03-31,6,NA,NA
"379","PR",2020-04-07,15,NA,NA
"380","PR",2020-04-14,22,NA,NA
"381","PR",2020-04-21,19,NA,NA
"382","PR",2020-04-28,22,NA,NA
"383","PR",2020-05-05,6,NA,NA
"384","RI",2020-03-03,NA,26000,31799
"385","RI",2020-03-10,0,25003,47244
"386","RI",2020-03-17,0,31500,18624
"387","RI",2020-03-24,0,18500,16857
"388","RI",2020-03-31,8,21500,57777
"389","RI",2020-04-07,22,NA,NA
"390","RI",2020-04-14,50,NA,NA
"391","RI",2020-04-21,91,NA,NA
"392","RI",2020-04-28,68,NA,NA
"393","RI",2020-05-05,40,NA,NA
"394","SC",2020-03-10,NA,93500,110349
"395","SC",2020-03-17,1,141500,88139
"396","SC",2020-03-24,4,70500,48770
"397","SC",2020-03-31,17,71001,106588
"398","SC",2020-04-07,29,NA,1000
"399","SC",2020-04-14,46,NA,NA
"400","SC",2020-04-21,27,NA,NA
"401","SC",2020-04-28,53,NA,NA
"402","SC",2020-05-05,79,NA,NA
"403","SD",2020-03-10,NA,37000,29820
"404","SD",2020-03-17,0,11000,9249
"405","SD",2020-03-24,1,17750,20211
"406","SD",2020-03-31,0,17500,28136
"407","SD",2020-04-07,5,NA,NA
"408","SD",2020-04-14,0,NA,NA
"409","SD",2020-04-21,2,NA,NA
"410","SD",2020-04-28,3,NA,NA
"411","SD",2020-05-05,10,NA,NA
"412","TN",2020-03-10,NA,157222,200494
"413","TN",2020-03-17,0,44949,76877
"414","TN",2020-03-24,2,36000,82109
"415","TN",2020-03-31,21,30000,392786
"416","TN",2020-04-07,49,NA,NA
"417","TN",2020-04-14,52,NA,NA
"418","TN",2020-04-21,33,NA,NA
"419","TN",2020-04-28,31,NA,NA
"420","TN",2020-05-05,16,NA,NA
"421","TX",2020-03-10,NA,306002,1213351
"422","TX",2020-03-17,1,635048,1990296
"423","TX",2020-03-24,8,178394,1792443
"424","TX",2020-03-31,32,266940,3744979
"425","TX",2020-04-07,113,NA,1000
"426","TX",2020-04-14,164,NA,NA
"427","TX",2020-04-21,199,NA,NA
"428","TX",2020-04-28,173,NA,NA
"429","TX",2020-05-05,126,NA,NA
"430","UT",2020-03-10,NA,52244,123784
"431","UT",2020-03-17,0,59230,83203
"432","UT",2020-03-24,1,64847,62437
"433","UT",2020-03-31,4,39301,118654
"434","UT",2020-04-07,8,NA,63147
"435","UT",2020-04-14,6,NA,NA
"436","UT",2020-04-21,13,NA,NA
"437","UT",2020-04-28,13,NA,NA
"438","UT",2020-05-05,1,NA,NA
"439","VA",2020-03-10,NA,3367480,773612
"440","VA",2020-03-17,1,2201839,395587
"441","VA",2020-03-24,6,461194,315229
"442","VA",2020-03-31,20,1867237,628531
"443","VA",2020-04-07,36,NA,1250
"444","VA",2020-04-14,91,NA,NA
"445","VA",2020-04-21,170,NA,NA
"446","VA",2020-04-28,168,NA,NA
"447","VA",2020-05-05,89,NA,NA
"448","VI",2020-03-17,NA,NA,NA
"449","VI",2020-03-24,0,NA,NA
"450","VI",2020-03-31,0,NA,NA
"451","VI",2020-04-07,1,NA,NA
"452","VI",2020-04-14,0,NA,NA
"453","VI",2020-04-21,2,NA,NA
"454","VI",2020-04-28,1,NA,NA
"455","VI",2020-05-05,0,NA,NA
"456","VT",2020-03-10,NA,3000,48689
"457","VT",2020-03-17,0,12500,35786
"458","VT",2020-03-24,7,1000,31206
"459","VT",2020-03-31,6,NA,14610
"460","VT",2020-04-07,10,NA,NA
"461","VT",2020-04-14,6,NA,NA
"462","VT",2020-04-21,11,NA,NA
"463","VT",2020-04-28,7,NA,NA
"464","VT",2020-05-05,3,NA,NA
"465","WA",2020-01-28,NA,41136,NA
"466","WA",2020-02-04,0,45429,NA
"467","WA",2020-02-11,0,142077,NA
"468","WA",2020-02-18,0,90898,NA
"469","WA",2020-02-25,0,147870,NA
"470","WA",2020-03-03,14,178479,465435
"471","WA",2020-03-10,23,117676,681670
"472","WA",2020-03-17,41,170900,306865
"473","WA",2020-03-24,68,61300,212150
"474","WA",2020-03-31,116,85604,622405
"475","WA",2020-04-07,167,NA,NA
"476","WA",2020-04-14,113,NA,NA
"477","WA",2020-04-21,98,NA,NA
"478","WA",2020-04-28,125,NA,NA
"479","WA",2020-05-05,49,NA,NA
"480","WI",2020-03-10,NA,254110,141718
"481","WI",2020-03-17,0,51000,88569
"482","WI",2020-03-24,5,32625,55586
"483","WI",2020-03-31,11,116272,156880
"484","WI",2020-04-07,76,NA,NA
"485","WI",2020-04-14,78,NA,NA
"486","WI",2020-04-21,72,NA,NA
"487","WI",2020-04-28,58,NA,NA
"488","WI",2020-05-05,27,NA,NA
"489","WV",2020-03-10,NA,48840,37052
"490","WV",2020-03-17,0,36250,11821
"491","WV",2020-03-24,0,11500,23789
"492","WV",2020-03-31,1,58000,30439
"493","WV",2020-04-07,3,NA,NA
"494","WV",2020-04-14,5,NA,NA
"495","WV",2020-04-21,17,NA,NA
"496","WV",2020-04-28,11,NA,NA
"497","WV",2020-05-05,9,NA,NA
"498","WY",2020-03-10,NA,3750,60088
"499","WY",2020-03-17,0,28700,7507066
"500","WY",2020-03-24,0,33000,10523
"501","WY",2020-03-31,0,35500,38690
"502","WY",2020-04-07,0,NA,NA
"503","WY",2020-04-14,1,NA,NA
"504","WY",2020-04-21,5,NA,NA
"505","WY",2020-04-28,1,NA,NA
"506","WY",2020-05-05,0,NA,NA
"507","AK",2019-01-08,NA,500,NA
"508","AK",2019-01-15,NA,9000,NA
"509","AK",2019-01-29,NA,10000,NA
"510","AK",2019-02-05,NA,8000,NA
"511","AK",2019-02-12,NA,41250,NA
"512","AK",2019-02-19,NA,39375,NA
"513","AK",2019-02-26,NA,35800,NA
"514","AK",2019-03-05,NA,91499,NA
"515","AK",2019-03-12,NA,36794,NA
"516","AK",2019-03-19,NA,37500,NA
"517","AK",2019-03-26,NA,36000,NA
"518","AK",2019-04-02,NA,179127,NA
"519","AK",2019-04-09,NA,6800,NA
"520","AK",2019-04-16,NA,29500,NA
"521","AK",2019-04-23,NA,18250,NA
"522","AK",2019-04-30,NA,40068,NA
"523","AK",2019-05-07,NA,23500,NA
"524","AK",2019-05-14,NA,37486,NA
"525","AK",2019-05-21,NA,31450,NA
"526","AK",2019-05-28,NA,16500,NA
"527","AK",2019-06-04,NA,28000,NA
"528","AK",2019-06-11,NA,25500,NA
"529","AK",2019-06-18,NA,62300,NA
"530","AK",2019-06-25,NA,67000,NA
"531","AK",2019-07-02,NA,55750,NA
"532","AK",2019-07-09,NA,18000,NA
"533","AK",2019-07-16,NA,13000,NA
"534","AK",2019-07-23,NA,4025,NA
"535","AK",2019-07-30,NA,34500,NA
"536","AK",2019-08-06,NA,6000,NA
"537","AK",2019-08-13,NA,12500,NA
"538","AK",2019-08-20,NA,6500,NA
"539","AK",2019-08-27,NA,14500,NA
"540","AK",2019-09-03,NA,12500,NA
"541","AK",2019-09-10,NA,9500,NA
"542","AK",2019-09-17,NA,37800,NA
"543","AK",2019-09-24,NA,100000,NA
"544","AK",2019-10-01,NA,75250,NA
"545","AK",2019-10-08,NA,21500,NA
"546","AK",2019-10-15,NA,12000,NA
"547","AK",2019-10-22,NA,16200,NA
"548","AK",2019-10-29,NA,24500,NA
"549","AK",2019-11-05,NA,23000,NA
"550","AK",2019-11-12,NA,39000,NA
"551","AK",2019-11-19,NA,33500,NA
"552","AK",2019-11-26,NA,39000,NA
"553","AK",2019-12-03,NA,15000,NA
"554","AK",2019-12-10,NA,52500,NA
"555","AK",2019-12-17,NA,108100,NA
"556","AK",2019-12-24,NA,38800,NA
"557","AK",2019-12-31,NA,12500,NA
"558","AK",2020-01-07,NA,4000,NA
"559","AK",2020-01-14,NA,7500,NA
"560","AK",2020-01-21,NA,4000,NA
"561","AK",2020-01-28,NA,23000,NA
"562","AK",2020-02-04,NA,31500,NA
"563","AK",2020-02-11,NA,42385,NA
"564","AK",2020-02-18,NA,9250,NA
"565","AK",2020-02-25,NA,35900,NA
"566","AK",2020-03-03,NA,30800,43642
"567","AL",2019-01-08,NA,15500,NA
"568","AL",2019-01-15,NA,43500,NA
"569","AL",2019-01-22,NA,33000,NA
"570","AL",2019-01-29,NA,115200,NA
"571","AL",2019-02-05,NA,155010,NA
"572","AL",2019-02-12,NA,111200,NA
"573","AL",2019-02-19,NA,181500,NA
"574","AL",2019-02-26,NA,90800,NA
"575","AL",2019-03-05,NA,84110,NA
"576","AL",2019-03-12,NA,118600,NA
"577","AL",2019-03-19,NA,125400,NA
"578","AL",2019-03-26,NA,164400,NA
"579","AL",2019-04-02,NA,133710,NA
"580","AL",2019-04-09,NA,42150,NA
"581","AL",2019-04-16,NA,55100,NA
"582","AL",2019-04-23,NA,42700,NA
"583","AL",2019-04-30,NA,63810,NA
"584","AL",2019-05-07,NA,46800,NA
"585","AL",2019-05-14,NA,64000,NA
"586","AL",2019-05-21,NA,79600,NA
"587","AL",2019-05-28,NA,44000,NA
"588","AL",2019-06-04,NA,69810,NA
"589","AL",2019-06-11,NA,99500,NA
"590","AL",2019-06-18,NA,160920,NA
"591","AL",2019-06-25,NA,203000,NA
"592","AL",2019-07-02,NA,154302,NA
"593","AL",2019-07-09,NA,42000,NA
"594","AL",2019-07-16,NA,57400,NA
"595","AL",2019-07-23,NA,78025,NA
"596","AL",2019-07-30,NA,60750,NA
"597","AL",2019-08-06,NA,47099,NA
"598","AL",2019-08-13,NA,41171,NA
"599","AL",2019-08-20,NA,27445,NA
"600","AL",2019-08-27,NA,26762,NA
"601","AL",2019-09-03,NA,25482,NA
"602","AL",2019-09-10,NA,52355,NA
"603","AL",2019-09-17,NA,82358,NA
"604","AL",2019-09-24,NA,161695,NA
"605","AL",2019-10-01,NA,212596,NA
"606","AL",2019-10-08,NA,47300,NA
"607","AL",2019-10-15,NA,45468,NA
"608","AL",2019-10-22,NA,72778,NA
"609","AL",2019-10-29,NA,43404,NA
"610","AL",2019-11-05,NA,31012,NA
"611","AL",2019-11-12,NA,63500,NA
"612","AL",2019-11-19,NA,71000,NA
"613","AL",2019-11-26,NA,103020,NA
"614","AL",2019-12-03,NA,43978,NA
"615","AL",2019-12-10,NA,115048,NA
"616","AL",2019-12-17,NA,139840,NA
"617","AL",2019-12-24,NA,128988,NA
"618","AL",2019-12-31,NA,14510,NA
"619","AL",2020-01-07,NA,28500,NA
"620","AL",2020-01-14,NA,34050,NA
"621","AL",2020-01-21,NA,30600,NA
"622","AL",2020-01-28,NA,45560,NA
"623","AL",2020-02-04,NA,110010,NA
